query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score
пластиковые окна Самара,пластиковые окна,commercial,Самара,51,https://oknaterem.ru/okna/plastikovyie-okna,oknaterem.ru,7,0,,,content,ok,,33.3333,13659.0,98372.0,1915.0,634.0,0.33107049608355094,6.0052,83.0,23.0723,63.0,1.0,8.0,0.0,8.0,1.0,51.0,1.0,147.0,0.0,0.0,0.0,40.0,2.0,2.0,0.666667,0.666667,10.0,0.666667,12.0,0.020888,1.0,154.0,97.0,181.0,10.0,8.0,143.0,17.875,30.3968,80.417755,50.652742,94.516971,5.221932,0.13885,0.746175,1.0,1.0,12.435065,0.126984,0.746175,0.49745,0.49745,0.444444,0.746175,0.8,0.927273,0.986207,0.696258,0.247037,0.746175
пластиковые окна Самара,пластиковые окна,commercial,Самара,51,https://zhiraf-okno.ru/,zhiraf-okno.ru,8,0,,,homepage,ok,,22.2222,26276.0,2614857.0,3809.0,1098.0,0.28826463638750327,5.5742,144.0,26.4514,24.0,2.0,12.0,1.0,15.0,1.0,67.0,1.0,183.0,0.0,0.0,0.0,89.0,3.0,2.0,0.666667,0.666667,4.0,0.666667,17.0,0.023366,1.0,123.0,191.0,147.0,26.0,10.0,212.0,21.2,158.7083,32.29194,50.144395,38.592807,6.825939,0.010049,0.596584,1.0,1.0,30.96748,0.625,0.596584,0.397723,0.397723,0.444444,0.596584,0.8,0.781818,0.737931,0.778857,0.171974,0.596584
пластиковые окна Самара,пластиковые окна,commercial,Самара,51,https://newokna163.ru/,newokna163.ru,9,0,,,homepage,ok,,11.1111,3339.0,185731.0,469.0,233.0,0.4968017057569296,5.9808,19.0,24.6842,15.0,2.0,8.0,0.0,9.0,1.0,57.0,1.0,131.0,0.0,0.0,0.0,26.0,2.0,1.0,0.666667,0.333333,0.0,0.0,21.0,0.055437,1.0,133.0,27.0,58.0,10.0,1.0,22.0,22.0,31.2667,283.58209,57.569296,123.667377,21.321962,0.017978,0.792781,1.0,1.0,3.526316,0.6,0.792781,0.528521,0.0,0.0,0.247876,0.633333,0.963636,0.903448,0.152097,0.102621,0.792781
пластиковые окна Самара,пластиковые окна,commercial,Самара,51,https://vdom-okna.ru/,vdom-okna.ru,10,0,,,homepage,ok,,0.0,9558.0,426608.0,1398.0,669.0,0.47854077253218885,5.6953,47.0,29.7447,132.0,4.0,19.0,1.0,24.0,1.0,59.0,1.0,179.0,0.0,0.0,0.0,40.0,2.0,2.0,0.666667,0.666667,11.0,0.666667,12.0,0.028612,1.0,41.0,212.0,11.0,39.0,0.0,20.0,0.0,10.5909,29.327611,151.645207,7.868383,27.896996,0.022405,0.55726,1.0,0.75,34.097561,0.181818,0.55726,0.371507,0.371507,0.444444,0.519366,0.8,0.927273,0.765517,0.953743,0.207115,0.417945
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://www.oknakompas.ru/,oknakompas.ru,1,0,,,homepage,ok,,100.0,45786.0,982297.0,6614.0,1059.0,0.160114907771394,5.6217,421.0,15.7102,1332.0,1.0,15.0,7.0,22.0,1.0,79.0,1.0,179.0,0.0,0.0,0.0,176.0,3.0,2.0,0.5,0.5,1.0,0.25,19.0,0.02661,1.0,507.0,121.0,765.0,7.0,27.0,73.0,2.703704,4.9655,76.655579,18.294527,115.663744,1.058361,0.046611,0.554219,1.0,1.0,13.045365,0.016517,0.554219,0.27711,0.138555,0.125,0.554219,0.6375,0.563636,0.765517,0.887007,0.088739,0.554219
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://oknazavr.ru/nizhniy-novgorod/plastikovye-okna/,oknazavr.ru,2,0,,,content,ok,,88.8889,14897.0,741530.0,2212.0,817.0,0.3693490054249548,5.4756,138.0,16.029,289.0,1.0,11.0,10.0,22.0,1.0,91.0,1.0,167.0,0.0,0.0,0.0,128.0,4.0,0.0,0.5,0.0,5.0,0.5,27.0,0.057866,1.0,358.0,237.0,265.0,0.0,3.0,94.0,31.333333,7.654,161.844485,107.142857,119.801085,0.0,0.02009,0.691169,1.0,1.0,6.178771,0.076125,0.691169,0.345585,0.345585,0.25,0.691169,0.7,0.345455,0.848276,0.071127,0.255283,0.691169
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://nn.okna-plastikovyye.ru/,nn.okna-plastikovyye.ru,3,0,,,homepage,ok,,77.7778,24328.0,324909.0,3438.0,1117.0,0.3248981966259453,5.8837,288.0,11.9375,263.0,1.0,6.0,0.0,7.0,1.0,44.0,1.0,44.0,0.0,0.0,0.0,139.0,2.0,2.0,0.5,0.5,4.0,0.5,33.0,0.04043,1.0,223.0,146.0,268.0,7.0,9.0,151.0,16.777778,13.0722,64.863293,42.46655,77.952298,2.036067,0.074876,0.296361,1.0,1.0,15.41704,0.026616,0.296361,0.14818,0.14818,0.25,0.296361,0.7,0.8,0.303448,0.652317,0.096287,0.296361
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://domokna52.ru/,domokna52.ru,4,0,,,homepage,ok,,66.6667,17755.0,479719.0,2458.0,927.0,0.3771358828315704,5.9211,130.0,18.9077,55.0,1.0,12.0,0.0,13.0,1.0,81.0,1.0,244.0,0.0,0.0,0.0,77.0,3.0,3.0,0.5,0.5,9.0,0.5,22.0,0.031326,1.0,309.0,125.0,217.0,37.0,3.0,39.0,13.0,44.6909,125.711961,50.854353,88.283157,15.052889,0.037011,0.617781,1.0,1.0,7.954693,0.236364,0.617781,0.308891,0.308891,0.25,0.617781,0.7,0.527273,0.317241,0.955791,0.232987,0.617781
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://profinn52.ru/,profinn52.ru,5,0,,,homepage,ok,,55.5556,6103.0,15331.0,770.0,481.0,0.6246753246753247,6.7584,52.0,14.8077,22.0,1.0,11.0,7.0,19.0,1.0,69.0,1.0,91.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.5,4.0,0.5,9.0,0.019481,1.0,41.0,10.0,0.0,0.0,2.0,4.0,2.0,35.0,53.246753,12.987013,0.0,0.0,0.398082,0.604245,1.0,0.75,18.780488,0.863636,0.604245,0.0,0.302123,0.0,0.310179,0.525,0.745455,0.627586,0.649351,0.161468,0.453184
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://okna-navsegda.ru/,okna-navsegda.ru,6,0,,,homepage,ok,,44.4444,9253.0,221414.0,1373.0,647.0,0.4712308812818645,5.4647,106.0,12.9528,78.0,1.0,18.0,30.0,49.0,1.0,59.0,1.0,137.0,0.0,0.0,0.0,35.0,2.0,2.0,0.5,0.5,3.0,0.5,7.0,0.025492,1.0,81.0,120.0,45.0,95.0,1.0,5.0,5.0,17.6026,58.994902,87.399854,32.774945,69.191551,0.04179,0.552841,1.0,1.0,16.950617,0.628205,0.552841,0.276421,0.276421,0.25,0.506034,0.7,0.927273,0.944828,0.849721,0.198716,0.552841
